State	County	Number of Synthetics Reports
VA	FREDERICKSBURG CITY	4
VA	LYNCHBURG CITY	1
VA	BRISTOL	1
VA	MIDDLESEX	3
VA	KING AND QUEEN	2
VA	GREENE	8
VA	SPOTSYLVANIA	89
VA	CUMBERLAND	3
VA	MECKLENBURG	18
VA	CLARKE	5
VA	WESTMORELAND	18
VA	AMELIA	2
VA	STAFFORD	109
VA	WISE	9
VA	CHARLOTTESVILLE CITY	7
VA	CRAIG	1
VA	NORTHAMPTON	1
VA	NORFOLK CITY	22
VA	DICKENSON	28
VA	NELSON	32
VA	BOTETOURT	10
VA	PRINCE WILLIAM	156
VA	HANOVER	78
VA	HAMPTON CITY	14
VA	HENRICO	288
VA	FREDERICK	64
VA	ALBEMARLE	16
VA	WINCHESTER CITY	8
VA	LOUISA	13
VA	CHESAPEAKE CITY	19
VA	CARROLL	3
VA	MONTGOMERY	35
VA	RICHMOND	23
VA	KING GEORGE	31
VA	ISLE OF WIGHT	12
VA	HALIFAX	6
VA	JAMES CITY	23
VA	SOUTHAMPTON	9
VA	ARLINGTON	67
VA	BUCHANAN	12
VA	WASHINGTON	5
VA	RADFORD	2
VA	HENRY	18
VA	CAMPBELL	8
VA	WARREN	26
VA	CHARLOTTE	1
VA	LOUDOUN	73
VA	AMHERST	7
VA	PRINCE GEORGE	11
VA	AUGUSTA	10
VA	BUCKINGHAM	11
VA	KING WILLIAM	2
VA	PRINCE EDWARD	9
VA	FAIRFAX CITY	4
VA	FLOYD	1
VA	DANVILLE CITY	1
VA	ORANGE	21
VA	APPOMATTOX	8
VA	CHESTERFIELD	227
VA	FAIRFAX	324
VA	PATRICK	5
VA	SUSSEX	6
VA	PORTSMOUTH CITY	13
VA	PULASKI	12
VA	SUFFOLK CITY	7
VA	COLONIAL HEIGHTS CITY	4
VA	PITTSYLVANIA	4
VA	YORK	33
VA	ALLEGHANY	6
VA	SMYTH	2
VA	POWHATAN	14
VA	LEE	2
VA	ROCKBRIDGE	6
VA	GILES	3
VA	ROCKINGHAM	18
VA	SCOTT	2
VA	FRANKLIN	9
VA	WAYNESBORO CITY	1
VA	CULPEPER	66
VA	PAGE	10
VA	GLOUCESTER	8
VA	ROANOKE	49
