State	County	Number of Synthetics Reports
VA	HANOVER	13
VA	BEDFORD	12
VA	VIRGINIA BEACH CITY	1
VA	HENRICO	21
VA	HENRY	5
VA	FREDERICK	11
VA	AUGUSTA	5
VA	BUCKINGHAM	6
VA	PAGE	30
VA	PRINCE WILLIAM	15
VA	RAPPAHANNOCK	2
VA	SMYTH	1
VA	KING WILLIAM	3
VA	PRINCE EDWARD	5
VA	ROANOKE	19
VA	LOUISA	3
VA	CUMBERLAND	2
VA	MECKLENBURG	2
VA	CHESAPEAKE CITY	1
VA	NORTHUMBERLAND	1
VA	CARROLL	3
VA	MONTGOMERY	17
VA	GREENE	2
VA	FLOYD	2
VA	FLUVANNA	18
VA	ISLE OF WIGHT	2
VA	PATRICK	8
VA	GRAYSON	3
VA	APPOMATTOX	1
VA	CHESTERFIELD	11
VA	WARREN	22
VA	ORANGE	2
VA	FRANKLIN	4
VA	LANCASTER	1
VA	WYTHE	9
VA	RUSSELL	12
VA	ACCOMACK	4
VA	CRAIG	2
VA	NEW KENT	2
VA	ARLINGTON	10
VA	BUCHANAN	14
VA	LUNENBURG	1
VA	WASHINGTON	7
VA	SPOTSYLVANIA	27
VA	TAZEWELL	18
VA	GREENSVILLE	4
VA	PULASKI	22
VA	WESTMORELAND	4
VA	PITTSYLVANIA	4
VA	YORK	1
VA	ALLEGHANY	1
VA	HALIFAX	5
VA	CAMPBELL	1
VA	SCOTT	7
VA	BATH	1
VA	FAIRFAX	37
VA	CULPEPER	11
VA	NELSON	2
VA	STAFFORD	21
VA	JAMES CITY	2
VA	WISE	12
VA	LEE	1
VA	ROCKINGHAM	6
VA	LOUDOUN	27
VA	KING GEORGE	4
VA	ROCKBRIDGE	1
VA	PRINCE GEORGE	1
VA	GILES	5
VA	DICKENSON	4
VA	SHENANDOAH	23
VA	AMHERST	4
VA	BOTETOURT	3
VA	FAUQUIER	17
VA	CAROLINE	3
VA	CLARKE	1
VA	GLOUCESTER	5
KY	PERRY	89
KY	BELL	8
KY	ADAIR	1
KY	BRACKEN	1
KY	MARSHALL	2
KY	MARION	4
KY	LINCOLN	10
KY	BATH	4
KY	JEFFERSON	97
KY	JOHNSON	4
KY	LEWIS	2
KY	BOONE	10
KY	LAUREL	5
KY	BOURBON	2
KY	HART	1
KY	KNOX	2
KY	BOYLE	1
KY	BULLITT	12
KY	PIKE	9
KY	BREATHITT	6
KY	HARDIN	13
KY	GREENUP	1
KY	LAWRENCE	1
KY	MAGOFFIN	3
KY	HOPKINS	2
KY	CARROLL	3
KY	FAYETTE	33
KY	WARREN	5
KY	MONTGOMERY	7
KY	CASEY	3
KY	ANDERSON	7
KY	FLOYD	7
KY	WOODFORD	3
KY	GALLATIN	2
KY	CLAY	7
KY	GRAYSON	3
KY	EDMONSON	2
KY	NICHOLAS	2
KY	MCCRACKEN	11
KY	NELSON	3
KY	DAVIESS	3
KY	KENTON	27
KY	JACKSON	2
KY	CARTER	2
KY	BOYD	7
KY	GRANT	1
KY	PENDLETON	1
KY	WHITLEY	6
KY	CALLOWAY	1
KY	BRECKINRIDGE	1
KY	WOLFE	1
KY	JESSAMINE	4
KY	WAYNE	8
KY	LESLIE	3
KY	OWSLEY	14
KY	TODD	2
KY	CAMPBELL	22
KY	GRAVES	5
KY	ESTILL	1
KY	MERCER	2
KY	ROCKCASTLE	6
KY	SIMPSON	4
KY	HENDERSON	1
KY	MADISON	13
KY	LEE	11
KY	CLARK	2
KY	KNOTT	2
KY	CALDWELL	1
KY	LARUE	1
KY	ROWAN	4
KY	MASON	1
KY	FLEMING	2
KY	LOGAN	2
KY	HARLAN	7
KY	FRANKLIN	6
KY	MORGAN	2
KY	OLDHAM	2
KY	BARREN	6
KY	LETCHER	6
KY	MUHLENBERG	4
KY	TAYLOR	1
KY	POWELL	4
PA	LUZERNE	8
PA	PERRY	3
PA	COLUMBIA	2
PA	ADAMS	6
PA	LAWRENCE	4
PA	POTTER	1
PA	NORTHUMBERLAND	2
PA	PHILADELPHIA	102
PA	SCHUYLKILL	11
PA	JEFFERSON	2
PA	CHESTER	6
