State	County	Number of Synthetics Reports
VA	HANOVER	6
VA	BEDFORD	11
VA	MIDDLESEX	1
VA	HENRICO	18
VA	NEWPORT NEWS CITY	2
VA	FREDERICK	9
VA	PORTSMOUTH CITY	1
VA	AUGUSTA	7
VA	ALBEMARLE	2
VA	BUCKINGHAM	2
VA	PRINCE WILLIAM	29
VA	MATHEWS	3
VA	WYTHE	16
VA	KING AND QUEEN	1
VA	BRUNSWICK	2
VA	WINCHESTER CITY	1
VA	RICHMOND	2
VA	ROANOKE	8
VA	LOUISA	12
VA	FAIRFAX CITY	1
VA	MECKLENBURG	10
VA	CARROLL	6
VA	ESSEX	3
VA	WARREN	13
VA	MONTGOMERY	9
VA	GREENE	1
VA	ROCKINGHAM	14
VA	FLUVANNA	4
VA	ISLE OF WIGHT	6
VA	PATRICK	5
VA	BLAND	2
VA	WESTMORELAND	4
VA	CHESTERFIELD	22
VA	JAMES CITY	2
VA	NOTTOWAY	2
VA	HALIFAX	1
VA	FRANKLIN	5
VA	LANCASTER	1
VA	SOUTHAMPTON	3
VA	RUSSELL	8
VA	ACCOMACK	3
VA	PRINCE EDWARD	8
VA	SMYTH	3
VA	ARLINGTON	2
VA	BUCHANAN	2
VA	WASHINGTON	4
VA	SPOTSYLVANIA	23
VA	TAZEWELL	8
VA	GREENSVILLE	1
VA	PULASKI	6
VA	ORANGE	12
VA	PITTSYLVANIA	2
VA	YORK	5
VA	HENRY	7
VA	CAMPBELL	5
VA	SHENANDOAH	8
VA	FAIRFAX	29
VA	FAUQUIER	14
VA	STAFFORD	14
VA	CHARLOTTE	6
VA	MADISON	3
VA	WISE	14
VA	LEE	2
VA	LOUDOUN	12
VA	ROCKBRIDGE	4
VA	PRINCE GEORGE	4
VA	GILES	1
VA	DICKENSON	1
VA	SCOTT	4
VA	AMHERST	1
VA	BOTETOURT	4
VA	CULPEPER	11
VA	CAROLINE	3
VA	PAGE	6
VA	GLOUCESTER	6
KY	PERRY	62
KY	TAYLOR	2
KY	BELL	6
KY	ADAIR	2
KY	BRACKEN	2
KY	MARSHALL	4
KY	LINCOLN	1
KY	BATH	3
KY	JEFFERSON	106
KY	JOHNSON	1
KY	BOONE	3
KY	ROBERTSON	2
KY	KNOX	7
KY	HART	2
KY	BOYLE	4
KY	BULLITT	1
KY	PIKE	5
KY	BREATHITT	13
KY	HARDIN	6
KY	GREENUP	1
KY	SHELBY	1
KY	TRIGG	1
KY	OLDHAM	1
KY	GREEN	1
KY	HOPKINS	4
KY	CARROLL	2
KY	FAYETTE	27
KY	MONTGOMERY	8
KY	CASEY	2
KY	POWELL	9
KY	FLOYD	10
KY	RUSSELL	1
KY	WEBSTER	1
KY	ALLEN	5
KY	WOODFORD	3
KY	MCCRACKEN	7
KY	MUHLENBERG	10
KY	DAVIESS	1
KY	KENTON	17
KY	OWSLEY	4
KY	CARTER	3
KY	BOYD	7
KY	GRANT	1
KY	PENDLETON	3
KY	WHITLEY	7
KY	SCOTT	3
KY	LYON	3
KY	ESTILL	1
KY	PULASKI	3
KY	JESSAMINE	30
KY	WAYNE	5
KY	MARION	1
KY	HARRISON	3
KY	HENRY	4
KY	CAMPBELL	14
KY	LAUREL	11
KY	ELLIOTT	2
KY	BRECKINRIDGE	1
KY	MERCER	1
KY	ROCKCASTLE	5
KY	SIMPSON	1
KY	WARREN	6
KY	WOLFE	1
KY	MADISON	15
KY	NELSON	3
KY	CLINTON	2
KY	LEE	6
KY	CLARK	2
KY	KNOTT	9
KY	ROWAN	5
KY	MASON	2
KY	FLEMING	9
KY	OHIO	3
KY	LOGAN	1
KY	MEADE	3
KY	HARLAN	51
KY	FRANKLIN	4
KY	MORGAN	3
KY	BARREN	4
KY	LESLIE	4
KY	GRAVES	1
KY	LETCHER	2
PA	LANCASTER	5
PA	NORTHAMPTON	2
PA	COLUMBIA	2
PA	ADAMS	1
PA	LAWRENCE	6
PA	POTTER	2
PA	NORTHUMBERLAND	9
PA	PHILADELPHIA	95
PA	SCHUYLKILL	11
