State	County	Number of Synthetics Reports
VA	FREDERICKSBURG CITY	5
VA	LYNCHBURG CITY	2
VA	BRISTOL	7
VA	RICHMOND	42
VA	CUMBERLAND	3
VA	MECKLENBURG	4
VA	CLARKE	1
VA	WESTMORELAND	2
VA	BUENA VISTA CITY	1
VA	AMELIA	1
VA	STAFFORD	13
VA	WISE	17
VA	CHARLOTTESVILLE CITY	1
VA	CRAIG	2
VA	NORFOLK CITY	3
VA	DICKENSON	2
VA	BOTETOURT	2
VA	PRINCE WILLIAM	12
VA	HANOVER	14
VA	HAMPTON CITY	7
VA	HENRICO	20
VA	FREDERICK	6
VA	BATH	3
VA	ALBEMARLE	3
VA	WINCHESTER CITY	8
VA	LOUISA	2
VA	CHESAPEAKE CITY	8
VA	MONTGOMERY	14
VA	GREENE	1
VA	ROCKINGHAM	7
VA	ISLE OF WIGHT	1
VA	BLAND	2
VA	HALIFAX	5
VA	JAMES CITY	6
VA	ARLINGTON	6
VA	BUCHANAN	12
VA	WASHINGTON	7
VA	RADFORD	2
VA	HENRY	4
VA	CAMPBELL	5
VA	WARREN	15
VA	LOUDOUN	8
VA	DINWIDDIE	2
VA	FAIRFAX CITY	3
VA	AMHERST	2
VA	STAUNTON CITY	2
VA	PRINCE GEORGE	4
VA	AUGUSTA	6
VA	BUCKINGHAM	4
VA	BRUNSWICK	1
VA	KING WILLIAM	1
VA	PRINCE EDWARD	1
VA	POQUOSON CITY	1
VA	DANVILLE CITY	11
VA	PETERSBURG CITY	2
VA	ORANGE	5
VA	CHESTERFIELD	13
VA	FAIRFAX	25
VA	PATRICK	3
VA	PORTSMOUTH CITY	2
VA	PULASKI	18
VA	SUFFOLK CITY	4
VA	COLONIAL HEIGHTS CITY	3
VA	PITTSYLVANIA	2
VA	FALLS CHURCH CITY	1
VA	ALLEGHANY	9
VA	SMYTH	5
VA	POWHATAN	3
VA	LEE	2
VA	ROCKBRIDGE	2
VA	GILES	9
VA	KING GEORGE	2
VA	SCOTT	12
VA	FRANKLIN	5
VA	LUNENBURG	3
VA	WAYNESBORO CITY	4
VA	CULPEPER	17
VA	PAGE	9
VA	GLOUCESTER	3
VA	ROANOKE	30
VA	BEDFORD	6
VA	MATHEWS	1
VA	VIRGINIA BEACH CITY	16
VA	ALEXANDRIA CITY	2
VA	SHENANDOAH	16
VA	RAPPAHANNOCK	4
VA	WYTHE	6
VA	GALAX CITY	1
VA	NORTHUMBERLAND	1
VA	NEWPORT NEWS CITY	16
VA	FLUVANNA	1
VA	GRAYSON	2
VA	LANCASTER	1
VA	RUSSELL	6
VA	ACCOMACK	1
VA	NEW KENT	1
VA	TAZEWELL	17
VA	SPOTSYLVANIA	20
VA	MADISON	8
VA	MARTINSVILLE CITY	1
VA	HARRISONBURG CITY	1
VA	SALEM	4
VA	FAUQUIER	16
VA	YORK	1
KY	LAWRENCE	1
KY	MCCRACKEN	7
KY	LETCHER	11
KY	WEBSTER	1
KY	MONROE	1
KY	CARLISLE	2
KY	PIKE	9
KY	BREATHITT	13
KY	CHRISTIAN	1
KY	SHELBY	1
KY	LEWIS	1
KY	CASEY	3
KY	EDMONSON	1
KY	NICHOLAS	8
KY	DAVIESS	1
KY	GRANT	2
KY	WOLFE	1
KY	GRAYSON	3
KY	ROBERTSON	1
KY	MERCER	3
KY	FLEMING	3
KY	MEADE	2
KY	NELSON	1
KY	FULTON	3
KY	BELL	10
KY	BATH	1
KY	TAYLOR	1
KY	BOONE	7
KY	BOYLE	1
KY	BULLITT	9
KY	HARDIN	10
KY	CARROLL	3
KY	MONTGOMERY	9
KY	MUHLENBERG	3
KY	OWSLEY	2
KY	JACKSON	5
KY	BOYD	7
KY	METCALFE	1
KY	WASHINGTON	2
KY	MASON	3
KY	JESSAMINE	14
KY	WAYNE	6
KY	LESLIE	9
KY	GARRARD	2
KY	ROCKCASTLE	8
KY	WARREN	9
KY	LIVINGSTON	1
KY	HARLAN	12
KY	MAGOFFIN	1
KY	BARREN	5
KY	ROWAN	3
KY	HOPKINS	2
KY	ADAIR	1
KY	MCCREARY	3
KY	CAMPBELL	27
KY	JEFFERSON	90
KY	KNOX	11
KY	GREENUP	1
KY	TRIGG	1
KY	OLDHAM	2
KY	MENIFEE	2
KY	FAYETTE	39
KY	ANDERSON	2
KY	FLOYD	9
KY	CLAY	5
KY	LINCOLN	1
KY	CARTER	3
KY	JOHNSON	5
KY	PENDLETON	3
KY	PULASKI	16
KY	HARRISON	1
KY	SPENCER	1
KY	LEE	6
KY	LARUE	2
KY	SCOTT	2
KY	FRANKLIN	6
KY	MORGAN	1
KY	PERRY	74
KY	OWEN	1
KY	BOURBON	2
KY	GALLATIN	1
KY	CRITTENDEN	2
KY	BUTLER	1
KY	ALLEN	4
KY	POWELL	5
KY	KENTON	18
KY	RUSSELL	4
KY	WHITLEY	18
KY	MARION	5
KY	LAUREL	8
KY	MADISON	36
KY	CLARK	8
KY	KNOTT	17
KY	LOGAN	3
PA	LUZERNE	10
PA	NORTHUMBERLAND	2
PA	COLUMBIA	1
PA	ADAMS	4
PA	LAWRENCE	5
PA	SULLIVAN	1
PA	POTTER	6
PA	PHILADELPHIA	142
PA	SCHUYLKILL	4
PA	JEFFERSON	1
PA	CHESTER	9
PA	CARBON	4
PA	BEAVER	2
PA	ERIE	4
PA	DAUPHIN	13
PA	MONROE	7
PA	CLEARFIELD	3
PA	PIKE	2
PA	MONTOUR	1
PA	CUMBERLAND	1
PA	ARMSTRONG	2
PA	LYCOMING	8
PA	DELAWARE	45
PA	LEBANON	1
PA	FAYETTE	8
PA	MONTGOMERY	2
PA	GREENE	1
PA	PERRY	2
PA	SNYDER	1
PA	BUTLER	1
PA	BUCKS	68
PA	SOMERSET	2
PA	WESTMORELAND	28
PA	LANCASTER	5
PA	ELK	1
PA	NORTHAMPTON	4
PA	SUSQUEHANNA	1
PA	CENTRE	2
PA	UNION	3
PA	WYOMING	1
PA	WASHINGTON	7
PA	LEHIGH	7
PA	YORK	26
PA	BERKS	1
PA	MERCER	2
PA	WARREN	3
PA	CLINTON	2
PA	BLAIR	13
PA	MIFFLIN	2
PA	VENANGO	6
PA	WAYNE	2
PA	CAMBRIA	14
PA	FRANKLIN	8
PA	ALLEGHENY	66
PA	MCKEAN	8
PA	CRAWFORD	7
PA	FULTON	1
PA	LACKAWANNA	7
OH	SENECA	6
OH	PERRY	8
OH	ADAMS	14
OH	MEIGS	2
OH	TRUMBULL	12
