State	County	Number of Synthetics Reports
VA	HANOVER	12
VA	BEDFORD	6
VA	HAMPTON CITY	2
VA	MIDDLESEX	3
VA	ROCKBRIDGE	4
VA	HENRICO	53
VA	POWHATAN	2
VA	SHENANDOAH	8
VA	FREDERICK	23
VA	BATH	1
VA	ALBEMARLE	12
VA	WYTHE	10
VA	PRINCE WILLIAM	37
VA	MATHEWS	1
VA	SMYTH	1
VA	BRUNSWICK	1
VA	KING WILLIAM	3
VA	ROANOKE	10
VA	LOUISA	5
VA	CUMBERLAND	1
VA	GOOCHLAND	1
VA	MECKLENBURG	1
VA	NORTHUMBERLAND	4
VA	CARROLL	7
VA	ESSEX	1
VA	WARREN	19
VA	MONTGOMERY	8
VA	GREENE	2
VA	FLOYD	1
VA	FLUVANNA	2
VA	ISLE OF WIGHT	8
VA	PATRICK	1
VA	GRAYSON	3
VA	WESTMORELAND	5
VA	CHESTERFIELD	32
VA	JAMES CITY	4
VA	NOTTOWAY	2
VA	SUFFOLK CITY	3
VA	FRANKLIN	5
VA	SOUTHAMPTON	3
VA	SUSSEX	1
VA	RUSSELL	3
VA	NEW KENT	1
VA	ARLINGTON	13
VA	BUCHANAN	1
VA	LUNENBURG	1
VA	WASHINGTON	2
VA	SPOTSYLVANIA	39
VA	TAZEWELL	25
VA	PORTSMOUTH CITY	5
VA	PULASKI	7
VA	ORANGE	13
VA	PITTSYLVANIA	4
VA	YORK	2
VA	ALLEGHANY	4
VA	HENRY	4
VA	MANASSAS CITY	1
VA	AUGUSTA	6
VA	FAIRFAX	39
VA	FAUQUIER	19
VA	NELSON	1
VA	STAFFORD	30
VA	CHARLOTTE	4
VA	MADISON	3
VA	WISE	6
VA	LEE	3
VA	ROCKINGHAM	9
VA	LOUDOUN	13
VA	KING GEORGE	8
VA	DINWIDDIE	1
VA	NORFOLK CITY	4
VA	GILES	1
VA	DICKENSON	2
VA	SCOTT	2
VA	AMHERST	2
VA	BOTETOURT	2
VA	CULPEPER	9
VA	CAROLINE	5
VA	PAGE	4
VA	GLOUCESTER	13
KY	PERRY	20
KY	TAYLOR	4
KY	BELL	11
KY	BRACKEN	4
KY	MCCRACKEN	5
KY	OWEN	3
KY	LINCOLN	1
KY	BATH	5
KY	JEFFERSON	73
KY	JOHNSON	1
KY	BOONE	80
KY	LAUREL	7
KY	BOURBON	1
KY	WEBSTER	1
KY	KNOX	4
KY	BOYLE	6
KY	BULLITT	5
KY	PIKE	2
KY	BREATHITT	5
KY	GRAVES	2
KY	CUMBERLAND	2
KY	WHITLEY	3
KY	SHELBY	3
KY	MAGOFFIN	1
KY	HOPKINS	4
KY	CARROLL	9
KY	FAYETTE	101
KY	WARREN	4
KY	MONTGOMERY	4
KY	CASEY	1
KY	SPENCER	1
KY	ANDERSON	2
KY	FLOYD	16
KY	CRITTENDEN	1
KY	CLAY	5
KY	EDMONSON	1
KY	ROBERTSON	2
KY	NICHOLAS	12
KY	POWELL	4
KY	MUHLENBERG	2
KY	DAVIESS	2
KY	KENTON	103
KY	JACKSON	3
KY	CARTER	5
KY	BOYD	10
KY	GRANT	14
KY	PENDLETON	1
KY	MARTIN	16
KY	CALLOWAY	1
KY	LYON	1
KY	MASON	3
KY	PULASKI	9
KY	JESSAMINE	6
KY	WAYNE	1
KY	MARION	3
KY	HARRISON	22
KY	HENRY	3
KY	CAMPBELL	92
KY	HARDIN	2
KY	MERCER	4
KY	ROCKCASTLE	3
KY	SIMPSON	1
KY	HENDERSON	2
KY	WOODFORD	1
KY	WOLFE	3
KY	MADISON	48
KY	CLINTON	2
KY	LEE	3
KY	CLARK	9
KY	LIVINGSTON	1
KY	ROWAN	6
KY	GREENUP	3
KY	FLEMING	5
KY	OHIO	2
KY	LOGAN	1
KY	MEADE	1
KY	HARLAN	1
KY	FRANKLIN	5
KY	OLDHAM	1
KY	BARREN	3
KY	LESLIE	2
KY	SCOTT	2
KY	LETCHER	5
PA	BEDFORD	5
PA	NORTHUMBERLAND	7
PA	COLUMBIA	8
PA	ADAMS	10
PA	LAWRENCE	6
PA	POTTER	5
PA	PHILADELPHIA	236
PA	LUZERNE	42
PA	SCHUYLKILL	40
PA	JEFFERSON	1
PA	CHESTER	41
PA	CARBON	12
PA	BEAVER	17
PA	ERIE	10
PA	DAUPHIN	45
PA	MONROE	40
PA	CLEARFIELD	4
PA	CUMBERLAND	3
PA	ARMSTRONG	9
PA	LYCOMING	11
PA	DELAWARE	144
PA	LEBANON	40
PA	FAYETTE	33
PA	MONTGOMERY	8
PA	GREENE	5
PA	PERRY	5
PA	SNYDER	1
PA	BUTLER	16
PA	BUCKS	53
PA	SOMERSET	6
PA	VENANGO	2
PA	LANCASTER	35
PA	NORTHAMPTON	8
PA	SUSQUEHANNA	3
PA	CENTRE	13
PA	HUNTINGDON	3
PA	WYOMING	2
PA	WASHINGTON	19
PA	CLARION	1
PA	WESTMORELAND	47
PA	LEHIGH	18
PA	YORK	90
PA	BERKS	26
PA	INDIANA	7
PA	MERCER	13
PA	WARREN	3
PA	BRADFORD	5
PA	TIOGA	1
PA	CLINTON	1
PA	BLAIR	18
PA	MIFFLIN	3
PA	WAYNE	2
PA	CAMBRIA	38
PA	FRANKLIN	11
PA	ALLEGHENY	447
PA	MCKEAN	14
PA	CRAWFORD	5
PA	FULTON	1
PA	LACKAWANNA	22
OH	SENECA	24
OH	LORAIN	117
OH	ADAMS	22
OH	LAWRENCE	24
OH	MEIGS	1
OH	HENRY	3
OH	TUSCARAWAS	11
OH	WYANDOT	4
OH	FAYETTE	27
OH	GALLIA	17
OH	HOCKING	3
OH	JEFFERSON	6
OH	VINTON	2
OH	ERIE	58
OH	MONROE	2
OH	PICKAWAY	6
OH	BROWN	43
OH	MAHONING	117
OH	HARDIN	13
OH	MORGAN	1
OH	SHELBY	12
OH	STARK	132
OH	CHAMPAIGN	50
OH	CLERMONT	109
OH	DELAWARE	16
OH	ATHENS	10
OH	MONTGOMERY	393
OH	GREENE	67
OH	UNION	5
OH	WOOD	31
OH	PERRY	1
OH	GUERNSEY	12
OH	BUTLER	152
OH	ALLEN	36
OH	WARREN	56
OH	COLUMBIANA	22
OH	HOLMES	4
OH	TRUMBULL	89
OH	JACKSON	9
OH	LUCAS	63
OH	MIAMI	19
OH	PORTAGE	82
OH	HANCOCK	42
OH	WASHINGTON	9
OH	LICKING	26
OH	FAIRFIELD	36
OH	WAYNE	37
OH	HAMILTON	1592
OH	MEDINA	85
OH	ASHTABULA	29
OH	DEFIANCE	38
OH	ASHLAND	15
OH	PREBLE	4
OH	MUSKINGUM	9
OH	MERCER	20
OH	WILLIAMS	2
OH	RICHLAND	18
OH	VAN WERT	6
OH	COSHOCTON	1
OH	MADISON	9
OH	HURON	25
OH	CLINTON	31
OH	CUYAHOGA	421
OH	CLARK	53
OH	SCIOTO	24
OH	DARKE	13
OH	PAULDING	2
OH	BELMONT	11
OH	LAKE	251
OH	OTTAWA	7
OH	SUMMIT	217
OH	LOGAN	7
OH	MORROW	6
OH	FRANKLIN	148
OH	AUGLAIZE	13
OH	GEAUGA	18
OH	MARION	33
OH	HIGHLAND	27
OH	CRAWFORD	17
OH	SANDUSKY	38
OH	FULTON	7
OH	ROSS	32
WV	MCDOWELL	1
WV	JACKSON	21
WV	DODDRIDGE	1
WV	PRESTON	3
WV	GREENBRIER	1
WV	HANCOCK	1
WV	FAYETTE	1
WV	HAMPSHIRE	3
WV	CABELL	5
WV	HARDY	3
WV	WOOD	23
WV	MARION	4
WV	LEWIS	9
WV	HARRISON	26
WV	BERKELEY	14
WV	KANAWHA	31
WV	OHIO	4
WV	NICHOLAS	7
WV	MERCER	2
WV	GILMER	1
WV	RALEIGH	17
