State	County	Number of Synthetics Reports
VA	FREDERICKSBURG CITY	7
VA	LYNCHBURG CITY	6
VA	BRISTOL	2
VA	GREENE	1
VA	CUMBERLAND	3
VA	MECKLENBURG	1
VA	CLARKE	1
VA	BUENA VISTA CITY	1
VA	AMELIA	5
VA	STAFFORD	20
VA	WISE	14
VA	CHARLOTTESVILLE CITY	5
VA	NORFOLK CITY	24
VA	BOTETOURT	3
VA	PRINCE WILLIAM	14
VA	HANOVER	11
VA	HAMPTON CITY	9
VA	HENRICO	21
VA	FREDERICK	13
VA	BATH	1
VA	ALBEMARLE	1
VA	WINCHESTER CITY	12
VA	LOUISA	6
VA	CHESAPEAKE CITY	13
VA	CARROLL	3
VA	MONTGOMERY	8
VA	RICHMOND	28
VA	ROCKINGHAM	10
VA	ISLE OF WIGHT	2
VA	HALIFAX	4
VA	JAMES CITY	2
VA	ARLINGTON	13
VA	BUCHANAN	7
VA	WASHINGTON	3
VA	RADFORD	5
VA	HENRY	3
VA	CAMPBELL	4
VA	WARREN	13
VA	CHARLOTTE	8
VA	LOUDOUN	14
VA	DINWIDDIE	1
VA	AMHERST	3
VA	STAUNTON CITY	3
VA	PRINCE GEORGE	4
VA	AUGUSTA	4
VA	BUCKINGHAM	3
VA	BRUNSWICK	2
VA	PRINCE EDWARD	1
VA	FAIRFAX CITY	1
VA	DANVILLE CITY	7
VA	PETERSBURG CITY	2
VA	ORANGE	6
VA	APPOMATTOX	1
VA	CHESTERFIELD	10
VA	FAIRFAX	34
VA	PATRICK	6
VA	SUSSEX	3
VA	PORTSMOUTH CITY	5
VA	PULASKI	13
VA	SUFFOLK CITY	13
VA	COLONIAL HEIGHTS CITY	2
VA	PITTSYLVANIA	9
VA	YORK	3
VA	ALLEGHANY	1
VA	SMYTH	5
VA	POWHATAN	3
VA	LEE	1
VA	ROCKBRIDGE	3
VA	GILES	4
VA	KING GEORGE	6
VA	SCOTT	1
VA	FRANKLIN	12
VA	WAYNESBORO CITY	1
VA	CULPEPER	13
VA	PAGE	11
VA	GLOUCESTER	3
VA	ROANOKE	17
VA	BEDFORD	17
VA	VIRGINIA BEACH CITY	25
VA	SURRY	2
VA	ALEXANDRIA CITY	1
VA	SHENANDOAH	6
VA	RAPPAHANNOCK	2
VA	WYTHE	17
VA	NORTHUMBERLAND	2
VA	NEWPORT NEWS CITY	19
VA	FLUVANNA	5
VA	GRAYSON	1
VA	LANCASTER	1
VA	RUSSELL	4
VA	ACCOMACK	1
VA	NEW KENT	1
VA	TAZEWELL	15
VA	SPOTSYLVANIA	16
VA	MARTINSVILLE CITY	3
VA	HARRISONBURG CITY	2
VA	SALEM	7
VA	FAUQUIER	8
VA	CAROLINE	3
KY	PERRY	27
KY	BELL	6
KY	POWELL	8
KY	BRACKEN	2
KY	MCCRACKEN	6
KY	DAVIESS	3
KY	BATH	1
KY	JEFFERSON	57
KY	LETCHER	1
