State	County	Number of Synthetics Reports
VA	FREDERICKSBURG CITY	1
VA	LYNCHBURG CITY	1
VA	MIDDLESEX	7
VA	GREENE	6
VA	CUMBERLAND	1
VA	MECKLENBURG	3
VA	CLARKE	2
VA	MANASSAS CITY	1
VA	BUENA VISTA CITY	1
VA	STAFFORD	57
VA	WISE	3
VA	CHARLOTTESVILLE CITY	1
VA	NORFOLK CITY	16
VA	NELSON	3
VA	BOTETOURT	5
VA	PRINCE WILLIAM	105
VA	HANOVER	24
VA	HAMPTON CITY	3
VA	HENRICO	146
VA	FREDERICK	43
VA	BATH	1
VA	ALBEMARLE	9
VA	WINCHESTER CITY	4
VA	LOUISA	3
VA	CHESAPEAKE CITY	17
VA	CARROLL	9
VA	MONTGOMERY	12
VA	RICHMOND	12
VA	KING GEORGE	11
VA	ISLE OF WIGHT	5
VA	HALIFAX	3
VA	JAMES CITY	3
VA	NOTTOWAY	1
VA	SOUTHAMPTON	1
VA	ARLINGTON	37
VA	BUCHANAN	2
VA	WASHINGTON	6
VA	HENRY	6
VA	CAMPBELL	2
VA	FRANKLIN CITY	1
VA	WARREN	15
VA	CHARLOTTE	1
VA	LOUDOUN	41
VA	DINWIDDIE	1
VA	AMHERST	4
VA	PRINCE GEORGE	2
VA	AUGUSTA	19
VA	BUCKINGHAM	1
VA	BRUNSWICK	3
VA	PRINCE EDWARD	2
VA	FAIRFAX CITY	4
VA	ORANGE	16
VA	APPOMATTOX	5
VA	CHESTERFIELD	151
VA	FAIRFAX	180
VA	PATRICK	3
VA	PORTSMOUTH CITY	15
VA	PULASKI	19
VA	SUFFOLK CITY	10
VA	COLONIAL HEIGHTS CITY	1
VA	PITTSYLVANIA	4
VA	YORK	11
VA	ALLEGHANY	4
VA	SMYTH	6
VA	POWHATAN	2
VA	LEE	1
VA	ROCKBRIDGE	3
VA	GILES	8
VA	ROCKINGHAM	8
VA	SCOTT	6
VA	FRANKLIN	10
VA	CULPEPER	34
VA	PAGE	10
VA	GLOUCESTER	14
VA	ROANOKE	27
VA	BEDFORD	4
VA	VIRGINIA BEACH CITY	6
VA	ALEXANDRIA CITY	10
VA	SHENANDOAH	23
VA	MATHEWS	3
VA	WYTHE	11
VA	NORTHUMBERLAND	12
VA	NEWPORT NEWS CITY	10
VA	ESSEX	1
VA	FLUVANNA	9
VA	GRAYSON	3
VA	WESTMORELAND	14
VA	RUSSELL	4
VA	ACCOMACK	6
VA	NEW KENT	5
VA	TAZEWELL	25
VA	SPOTSYLVANIA	83
VA	MADISON	5
VA	GREENSVILLE	3
VA	FAUQUIER	21
VA	CAROLINE	7
KY	PERRY	18
KY	SPENCER	1
KY	BELL	6
KY	BRACKEN	5
KY	MCCRACKEN	4
KY	OWEN	5
KY	LINCOLN	1
KY	BATH	3
KY	GARRARD	7
KY	JEFFERSON	323
KY	JOHNSON	1
KY	BOONE	77
KY	LAUREL	3
KY	BOURBON	2
KY	WEBSTER	1
KY	BOYLE	18
KY	BULLITT	12
KY	PIKE	2
KY	BREATHITT	1
KY	CHRISTIAN	8
KY	CUMBERLAND	4
KY	WHITLEY	6
KY	SHELBY	18
KY	OLDHAM	8
KY	HOPKINS	1
KY	CARROLL	9
KY	FAYETTE	179
KY	WARREN	11
KY	MONTGOMERY	18
KY	CASEY	1
KY	ANDERSON	3
KY	FLOYD	19
KY	WOODFORD	5
KY	SIMPSON	2
KY	CLAY	1
KY	BUTLER	4
KY	EDMONSON	3
KY	HENDERSON	5
KY	POWELL	5
KY	NELSON	9
KY	DAVIESS	5
KY	KENTON	151
KY	JACKSON	1
KY	CARTER	9
KY	BOYD	15
KY	GRANT	25
KY	UNION	1
KY	BALLARD	1
KY	MARTIN	2
KY	CALLOWAY	1
KY	ESTILL	5
KY	PULASKI	17
KY	GRAYSON	4
KY	JESSAMINE	20
KY	WAYNE	4
KY	LESLIE	3
KY	HARRISON	25
KY	HENRY	1
KY	CAMPBELL	114
KY	HARDIN	5
KY	MASON	9
KY	MERCER	7
KY	ROCKCASTLE	3
KY	TAYLOR	10
KY	GREENUP	9
KY	MADISON	83
KY	NICHOLAS	3
KY	MUHLENBERG	1
KY	CLARK	11
KY	KNOTT	9
KY	CALDWELL	1
KY	LIVINGSTON	1
KY	ROWAN	11
KY	TRIMBLE	1
KY	OHIO	3
KY	LOGAN	1
KY	MEADE	5
KY	HARLAN	10
KY	FRANKLIN	20
KY	LEWIS	2
KY	MARION	4
KY	GRAVES	5
KY	SCOTT	15
KY	LETCHER	1
PA	BEDFORD	4
PA	NORTHAMPTON	30
PA	COLUMBIA	11
PA	ADAMS	24
PA	LAWRENCE	21
PA	POTTER	2
PA	NORTHUMBERLAND	10
PA	PHILADELPHIA	809
PA	SCHUYLKILL	100
PA	JEFFERSON	1
PA	CHESTER	61
